"date","fremont_bridge_nb","fremont_bridge_sb"
"2017-01-14T06:00:00.000","6","3"
"2017-01-11T02:00:00.000","0","0"
"2017-01-24T07:00:00.000","188","104"
"2017-01-16T02:00:00.000","0","1"
"2017-01-02T07:00:00.000","13","4"
"2017-01-06T07:00:00.000","90","47"
"2017-01-07T06:00:00.000","4","2"
"2017-01-05T09:00:00.000","83","59"
"2017-01-21T23:00:00.000","3","12"
"2017-01-03T00:00:00.000","0","3"
"2017-01-16T13:00:00.000","39","33"
"2017-01-25T21:00:00.000","14","29"
"2017-01-08T01:00:00.000","1","3"
"2017-01-05T21:00:00.000","6","18"
"2017-01-18T16:00:00.000","46","90"
"2017-01-11T22:00:00.000","9","11"
"2017-01-31T09:00:00.000","98","100"
"2017-01-11T10:00:00.000","35","47"
"2017-01-29T06:00:00.000","4","4"
"2017-01-03T21:00:00.000","5","4"
"2017-01-16T03:00:00.000","0","0"
"2017-01-25T06:00:00.000","59","41"
"2017-01-13T15:00:00.000","40","53"
"2017-01-23T21:00:00.000","11","22"
"2017-01-14T23:00:00.000","1","3"
"2017-01-18T02:00:00.000","0","0"
"2017-01-26T17:00:00.000","78","309"
"2017-01-22T22:00:00.000","2","3"
"2017-01-17T14:00:00.000","10","13"
"2017-01-12T18:00:00.000","68","143"
"2017-01-11T06:00:00.000","51","21"
"2017-01-23T03:00:00.000","1","1"
"2017-01-14T17:00:00.000","22","25"
"2017-01-03T13:00:00.000","10","17"
"2017-01-06T12:00:00.000","27","24"
"2017-01-19T17:00:00.000","70","233"
"2017-01-01T15:00:00.000","29","11"
"2017-01-20T23:00:00.000","7","13"
"2017-01-23T13:00:00.000","31","40"
"2017-01-04T08:00:00.000","175","103"
"2017-01-25T01:00:00.000","0","3"
"2017-01-24T19:00:00.000","41","90"
"2017-01-03T03:00:00.000","0","0"
"2017-01-22T14:00:00.000","22","18"
"2017-01-19T09:00:00.000","83","72"
"2017-01-21T10:00:00.000","78","42"
"2017-01-09T16:00:00.000","52","107"
"2017-01-03T20:00:00.000","8","16"
"2017-01-27T23:00:00.000","8","10"
"2017-01-14T20:00:00.000","13","4"
"2017-01-13T00:00:00.000","2","2"
"2017-01-30T13:00:00.000","26","34"
"2017-01-14T18:00:00.000","15","16"
"2017-01-16T15:00:00.000","40","59"
"2015-11-08T04:00:00.000","0","0"
"2017-01-13T22:00:00.000","3","9"
"2017-01-09T08:00:00.000","202","131"
"2017-01-21T13:00:00.000","62","84"
"2017-01-05T10:00:00.000","30","27"
"2017-01-02T11:00:00.000","21","26"
"2017-01-21T16:00:00.000","49","69"
"2017-01-06T17:00:00.000","64","168"
"2017-01-08T09:00:00.000","11","11"
"2017-01-12T20:00:00.000","12","35"
"2017-01-26T10:00:00.000","22","35"
"2017-01-23T09:00:00.000","106","85"
"2017-01-25T15:00:00.000","28","47"
"2017-01-05T04:00:00.000","3","1"
"2017-01-24T14:00:00.000","22","25"
"2017-01-21T15:00:00.000","55","125"
"2017-01-07T20:00:00.000","4","9"
"2017-01-16T16:00:00.000","24","67"
"2017-01-24T04:00:00.000","3","2"
"2017-01-25T02:00:00.000","1","0"
"2017-01-21T05:00:00.000","7","4"
"2017-01-17T19:00:00.000","14","64"
"2017-01-19T07:00:00.000","123","72"
"2017-01-24T17:00:00.000","108","306"
"2017-01-11T09:00:00.000","80","75"
"2017-01-23T05:00:00.000","12","12"
"2012-10-27T00:00:00.000","6","6"
"2017-01-13T05:00:00.000","12","8"
"2017-01-12T09:00:00.000","80","63"
"2012-10-27T03:00:00.000","1","1"
"2017-01-20T21:00:00.000","13","20"
"2017-01-31T22:00:00.000","4","15"
"2017-01-16T08:00:00.000","93","65"
"2017-01-17T10:00:00.000","27","28"
"2017-01-09T20:00:00.000","13","28"
"2017-01-10T00:00:00.000","2","3"
"2017-01-13T07:00:00.000","112","57"
"2017-01-22T02:00:00.000","2","1"
"2017-01-23T17:00:00.000","104","345"
"2017-01-13T12:00:00.000","23","17"
"2017-01-29T04:00:00.000","0","1"
"2015-11-10T01:00:00.000","0","0"
"2017-01-08T08:00:00.000","8","9"
"2017-01-24T02:00:00.000","2","1"
"2017-01-09T13:00:00.000","16","18"
"2017-01-03T17:00:00.000","76","245"
"2017-01-09T22:00:00.000","6","6"
"2017-01-26T12:00:00.000","20","31"
"2017-01-02T23:00:00.000","3","2"
"2017-01-03T22:00:00.000","1","7"
"2012-10-28T00:00:00.000","5","5"
"2017-01-13T14:00:00.000","19","31"
"2017-01-06T04:00:00.000","2","1"
"2017-01-09T04:00:00.000","5","2"
"2017-01-23T22:00:00.000","6","11"
"2017-01-27T19:00:00.000","29","49"
"2017-01-10T04:00:00.000","5","1"
"2017-01-12T15:00:00.000","33","42"
"2017-01-12T14:00:00.000","30","24"
"2017-01-26T06:00:00.000","63","40"
"2017-01-29T22:00:00.000","6","7"
"2017-01-05T07:00:00.000","122","58"
"2017-01-02T00:00:00.000","0","1"
"2017-01-31T05:00:00.000","17","16"
"2017-01-16T14:00:00.000","44","39"
"2017-01-31T07:00:00.000","195","109"
"2017-01-26T22:00:00.000","12","15"
"2017-01-28T21:00:00.000","12","13"
"2017-01-31T21:00:00.000","19","13"
"2017-01-21T02:00:00.000","1","1"
"2017-01-28T18:00:00.000","28","31"
"2017-01-14T16:00:00.000","34","22"
"2017-01-24T10:00:00.000","38","45"
"2017-01-02T14:00:00.000","36","37"
"2017-01-17T18:00:00.000","48","143"
"2017-01-12T01:00:00.000","1","0"
"2017-01-22T00:00:00.000","3","5"
"2017-01-24T22:00:00.000","5","13"
"2017-01-20T06:00:00.000","42","27"
"2017-01-27T17:00:00.000","97","284"
"2017-01-24T23:00:00.000","9","6"
